nama,alamat,deskripsi
Vio Veteran,"Jl. Veteran No. 32, Sumurbandung, 40112 Bandung, Indonesia","Vio Veteran menawarkan kamar-kamar bergaya minimalis dan berjarak 5 menit jalan kaki dari Bee Shopping Mall. Akses WiFi gratis tersedia di seluruh areanya. Masing-masing kamar di akomodasi ini dilengkapi dengan TV, meja, dan AC. Beberapa kamar menyediakan ketel listrik dan sofa. Kamar mandi pribadinya menawarkan shower, perlengkapan mandi gratis, dan sandal. Di Vio Veteran, Anda akan menemukan meja depan 24 jam dan taman. Ruang parkir pribadi tersedia berdasarkan pemesanan. Vio Veteran berjarak 15 menit naik mobil dari Trans Studio Bandung dan 50 menit berkendara dari Bandara Internasional Husein Sastranegara. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
OYO 794 Ln 9 Bandung Residence,"Jalan Lemahnendeut No 9, Sukajadi, 40164 Bandung, Indonesia ","Berlokasi nyaman di Sukajadi, Bandung, OYO 794 Ln 9 Bandung Residence berjarak 4,4 km dari Villa Isola, 5 km dari Mal Perbelanjaan Cihampelas Walk, dan 7 km dari Gedung Sate. Semua kamar memiliki TV satelit layar datar dan kamar mandi pribadi. Menyuguhkan pemandangan kota, kamar-kamarnya dilengkapi AC, meja, dan Wi-Fi gratis. Resepsionis 24 jam dapat berbahasa Inggris dan Indonesia. Jalan Riau berjarak 8 km dari hotel, sedangkan Braga City Walk berjarak 9 km. Bandara terdekat adalah Bandara Husein Sastranegara, 2,9 km dari OYO 794 Ln 9 Bandung Residence. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Kampioen Bed & Breakfast,"Jalan Doktor Gunawan, 40171 Bandung, Indonesia","Terletak di Bandung, 2,1 km dari pusat perbelanjaan Cihampelas Walk, Kampioen Bed & Breakfast menawarkan kamar-kamar ber-AC dan teras. Berbagai fasilitas akomodasi di antaranya adalah restoran, resepsionis 24 jam, layanan kamar, dan WiFi gratis. Akomodasi bebas-rokok ini berjarak 2,2 km dari Terminal Bus Stasiun Hall. Kamar-kamar di hotel ini dilengkapi dengan area tempat duduk. Di Kampioen Bed & Breakfast, semua kamar memiliki meja, TV layar datar, dan kamar mandi pribadi. Akomodasi menawarkan sarapan prasmanan atau Asia. Jalan Riau berjarak 2,6 km dari Kampioen Bed & Breakfast, sementara Braga City Walk terletak sejauh 2,9 km. Bandara terdekat adalah Bandara Husein Sastranegara, 3,9 km dari hotel."
YELLO Hotel Paskal Bandung,"Jalan Pasir kaliki No. 25 Bandung, 40181 Bandung, Indonesia","YELLO Hotel Paskal Bandung yang berdesain penuh gaya ini menawarkan akomodasi bergaya perkotaan dengan karya seni kontemporer, restoran di tempat, dan kolam renang luar ruangan. Hotel bintang 3 ini juga memiliki resepsionis 24 jam dan Wi-Fi gratis di seluruh areanya. Setiap kamar yang dirancang dengan warna-warna cerah ini dilengkapi TV layar datar, AC, kamar mandi pribadi dengan shower dan perlengkapan gratis. meja, serta area tempat duduk. Anda juga dapat memanfaatkan bermain permainan menyenangkan di ruang permainan umum. Anda dapat menikmati sarapan prasmanan setiap hari di YELLO Hotel Paskal Bandung. YELLO Hotel Paskal Bandung berjarak 1 km dari Pasar Baru Bandung dan 1,5 km dari Braga City Walk. Sedangkan Bandara Husein Sastranegara terletak sejauh 3 km."
THE 1O1 Bandung Dago,"Jalan Ir. H. Juanda no.3, Bandung Wetan, 40115 Bandung, Indonesia","THE 1O1 Bandung Dago memiliki lokasi yang strategis di daerah Dago yang populer di Bandung. Hotel ini menawarkan akomodasi yang trendi dan modern, serta akses Wi-Fi gratis di seluruh area hotel. Akomodasi hanya berselang 5 menit jalan kaki dari Pusat Perbelanjaan Bandung Indah Plaza dan 15 menit berkendara dari Balai Kota Gedung Sate yang terkenal. Mal Perbelanjaan Paris Van Java dapat dicapai dalam waktu 30 menit berkendara. Bandara Bandung juga berselang sekitar 30 menit berkendara. Kamar-kamar ber-AC di THE 1O1 Bandung Dago menampilkan desain modern dan trendi, serta dilengkapi dengan TV kabel layar datar, minibar, dan area tempat duduk yang mencakup meja. Semua kamar juga memiliki kamar mandi dalam yang menawarkan fasilitas shower air panas dan dingin, serta pengering rambut. Tersedia pula perlengkapan mandi gratis dan sandal. Hotel ini memiliki meja depan 24-jam yang meliputi layanan pramutamu dan layanan tata graha harian. Berbagai fasilitas lainnya - mencakup antar-jemput bandara, fasilitas rapat, penyewaan mobil, binatu, dan dry cleaning tersedia dengan biaya tambahan. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Benua Hotel,"Jalan Pelajar Pejuang 45 no 111, 40264 Bandung, Indonesia","Berjarak sekitar 3 km dari Trans Studio Mall dan Museum Asia-Afrika, Benua Hotel menawarkan Wi-Fi di area umum dan menyediakan antar-jemput bandara dengan biaya tambahan. Kamar-kamar ber-AC-nya dilengkapi dengan TV layar datar, meja, dan area tempat duduk. Kamar mandi dalamnya menyediakan shower dan perlengkapan mandi gratis. Benua Hotel berjarak sekitar 5 km berkendara dari Gedung Sate dan sekitar 8 km dari Bandara Internasional Husein Sastranegara. Melalui meja depan 24 jam, Anda dapat memesan layanan antar-jemput di sekitar Bandung dengan biaya tambahan. Hotel ini juga memiliki fasilitas rapat dan perjamuan. Restoran menyajikan masakan khas Indonesia di hotel."
Gino Feruci Kebon Jati Bandung,"Jalan Kebon Jati 71 - 75, 40171 Bandung, Indonesia","Gino Feruci Kebon Jati Bandung terletak di pusat kota Kota Bandung, 10 menit berjalan kaki dari kawasan perbelanjaan Pasar Baru. Akomodasi ini menawarkan spa, 2 pilihan tempat bersantap, dan internet gratis. Gino Feruci Kebon Jati Bandung juga berselang 10 menit jalan kaki dari Stasiun Kereta Bandung. Bandara Husein Sastranegara dapat dijangkau dalam 20 menit berkendara dari hotel. Setiap kamar dilengkapi dengan TV kabel dan fasilitas membuat teh/kopi. Kamar-kamarnya juga memiliki kamar mandi pribadi dengan perlengkapan mandi. Anda dapat bernyanyi di D'Dragon Karaoke, berolahraga di gym, serta memanjakan diri dengan perawatan spa di My Place dengan biaya tambahan. King Dynasty Restaurant menyajikan Dim Sum dan masakan Cina otentik. Minuman dan anggur yang lezat dapat dinikmati di 1906 Wine & Cigar Lounge."
Hotel Cemerlang,"Jalan HOS. Tjokroaminoto No 45 (Pasirkaliki), 40171 Bandung, Indonesia","Menawarkan kamar-kamar dengan AC, Hotel Cemerlang terletak di Ciroyom, Bandung, 1,7 km dari Terminal Bus Stasiun Hall. Akomodasi ini menyediakan restoran, resepsionis 24 jam, layanan kamar, dan Wi-Fi gratis. Akomodasi bebas-rokok ini terletak 3,4 km dari Mal Perbelanjaan Cihampelas Walk. Setiap kamar di hotel ini memiliki meja, TV, dan kamar mandi pribadi. Kamar-kamarnya menyediakan kulkas. Hotel Cemerlang menawarkan sarapan kontinental atau prasmanan. Braga City Walk berjarak 3,7 km dari akomodasi, sedangkan Jalan Riau berjarak 3,8 km. Bandara terdekat adalah Bandara Husein Sastranegara, 4,4 km dari Hotel Cemerlang."
Grand Setiabudi Hotel,"Jl. Setiabudi 130-134, 40141 Bandung, Indonesia","Grand Setiabudi Hotel merupakan hotel bintang 4 yang terletak di jantung Kota Bandung. Hotel ini menawarkan kenyamanan modern dengan kolam renang outdoor, pusat kebugaran dan Wi-Fi gratis di seluruh area. Anda dapat menikmati pijat santai di dalam kenyamanan kamar. Grand Setiabudi Hotel berjarak 5 menit berkendara dari banyak factory outlet ternama di sepanjang Jalan Setiabudi. Rumah Sosis Restaurant dapat dijangkau dengan berkendara 10 menit dan Paris Van Java dalam 15 menit. Kamar-kamar Grand Setiabudi Hotel yang elegan menampilkan lantai keramik dan pencahayaan hangat. Semua kamar dilengkapi TV kabel layar datar, brankas, dan lemari es. Anda dapat bersantai di area tempat duduk atau di balkon pribadi yang menghadap ke kota dan pegunungan. Grand Setiabudi Hotel yang bebas-rokok ini menyediakan meja depan 24-jam, arena bermain anak-anak, dan fasilitas tenis meja untuk rekreasi Anda. Fasilitas lain termasuk layanan binatu dan faks/fotokopi, juga tempat parkir gratis. Anda dapat menikmati masakan Indonesia dan Barat yang disajikan di Blooming Restaurant, yang juga menyediakan layanan kamar."
Tebu Hotel Bandung,"Jl. L. L. R. E. Martadinata No. 62, Bandung Wetan, 40115 Bandung, Indonesia","Tebu Hotel Bandung menyediakan sebuah retoran dan hanya berjarak 3 menit berkendara dari pusat kota Dago yang menawarkan berbagai pilihan tempat perbelanjaan dan bersantap. Wi-Fi dapat diakses secara gratis di seluruh area properti. Kamar-kamar ber-AC Tebu Hotel Bandung yang menghadap ke kota dilengkapi TV kabel layar datar, brankas, dan meja. Setiap kamar mandi dalamnya menyediakan shower, handuk, dan perlengkapan mandi gratis. Tebu Hotel Bandung dapat dijangkau dalam 45 menit berkendara dari Gunung Tangkuban Perahu dan 1,5 jam berkendara dari Bandara Husein Sastranegara. Staf di meja depan 24-jam dapat membantu Anda dengan layanan penitipan bagasi, permintaan binatu, dan parkir valet. Berbagai fasilitas lainnya di dalam kompleks hotel termasuk ruang rapat, surat kabar, dan brankas. Sugar Restaurant menyajikan masakan Indonesia serta menawarkan layanan kamar. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
FOX Lite Hotel Metro Indah Bandung,"Jalan Soekarno Hatta No. 590, 40286 Bandung, Indonesia","Terletak hanya 5 km dari Trans Studio Mall dan Trans Studio Bandung Indoor Theme Park, Hotel Metro Indah Bandung (Associated FOX HARRIS) menawarkan akomodasi yang nyaman dengan akses WiFi gratis di semua area. Setiap kamar dilengkapi dengan AC dan TV kabel layar datar. Kamar-kamar tertentu menyuguhkan pemandangan gunung, sementara yang lainnya menyuguhkan pemandangan kota. Kamar mandi pribadi memiliki shower, sandal, dan perlengkapan mandi gratis. Fasilitas lain yang tersedia di akomodasi ini juga meliputi resepsionis 24 jam dengan staf ramah yang dapat membantu mengatur pijat relaksasi dan perawatan spa, layanan antar-jemput bandara, serta akses ke pusat kebugaran dengan biaya tambahan untuk Anda. Untuk pilihan tempat bersantap, Cilantro Restaurant menyajikan sarapan, makan siang, dan makan malam dengan hidangan Indonesia yang lezat. Hotel Metro Indah Bandung (Associated FOX HARRIS) berjarak 30 menit berkendara dari daerah Dago yang terkenal, dan sekitar 15 km dari Bandara Internasional Husein Sastranegara."
Aston Braga Hotel & Residence Bandung ,"Jl. Braga 99 - 101, Sumurbandung, 40111 Bandung, Indonesia","Menjulang tinggi di atas Kota Braga, Aston Residence Bandung menawarkan kamar-kamar dan apartemen modern dengan internet gratis. Selain menyediakan parkir gratis, hotel juga memiliki kolam renang di puncak gedung dengan bar kolam renang serta sebuah restoran. Aston Hotel & Residence Braga Bandung dapat dicapai dalam waktu 10 menit berkendara dari Stasiun Kereta Bandung dan Pasar Baru. Hotel berjarak 20 menit berkendara dari Bandara Husein Sastranegara. Kamar-kamar elegan di Aston Braga didekorasi dalam warna-warna netral yang menyenangkan serta perabotan kayu gelap nan modern. Apartemen menawarkan dapur berperalatan lengkap serta area duduk yang luas dengan sofa. Sore santai bisa dihabiskan di kolam renang outdoor puncak gedung atau dengan berjalan-jalan di Braga City Walk di sebelah hotel. Staf yang ramah menyediakan bagian penerima tamu 24 jam serta layanan pramutamu. Selain menawarkan sarapan prasmanan, Tos Raos Coffee Shop juga menyajikan hidangan Indonesia dan Barat. Setelah bersantap, kunjungi Poyan Pool Bar atau Carios Lounge untuk hidangan ringan. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
Sukajadi Hotel and Gallery,"Jl. Sukajadi No.176, Sukajadi, 40161 Bandung, Indonesia","Sukajadi Hotel menawarkan akomodasi butik yang dapat dicapai dengan berjalan kaki dari Paris Van Java, mal berkonsep terbuka terbesar di Bandung. Hotel ini menawarkan taman tropis, serta memiliki kolam renang outdoor dan restoran 24 jam. Kamar-kamar di Sukajadi menampilkan perabotan kayu dengan dekorasi bernuansa lokal. Tiap kamar dilengkapi TV satelit, kulkas, dan fasilitas membuat teh/kopi. Kamar mandi pribadinya menyediakan shower air panas/dingin. Anda dapat menikmati karya seni lokal di galeri seni. Hotel ini memiliki meja depan 24 jam serta pusat bisnis dengan layanan internet. Layanan binatu dan parkir valet juga tersedia. Suka Restaurant menyajikan masakan khas Indonesia dan Eropa, dengan menawarkan tempat bersantap udara terbuka yang menampilkan pemandangan kolam renang. Layanan kamar tersedia 24 jam. Sukajadi Hotel berselang 10 menit berkendara dari bandara Husein Sastranegara Bandung. Stasiun kereta api Bandung dapat dicapai dengan 15 menit berkendara, sedangkan Jakarta dapat dijangkau dengan 2 jam berkendara. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Mercure Bandung Nexa Supratman,"Jl. W.R Supratman No. 66 - 68, Bandung Wetan, 40122 Bandung, Indonesia","Berlokasi strategis dalam jarak 700 meter dari daerah Jalan Riau yang terkenal dan dipenuhi jajaran toko factory outlet, Nexa Hotel menawarkan meja depan 24 jam dan sebuah kolam renang indoor. Akses WiFi tersedia gratis di seluruh areanya. Dilengkapi dengan lantai keramik, kamar-kamar ber-AC di hotel ini menyediakan TV layar datar, brankas pribadi, dan area tempat duduk. Semua kamar juga dilengkapi dengan meja, fasilitas membuat teh/kopi, dan lemari. Kamar mandi dalamnya menyediakan pengering rambut, sandal, dan perlengkapan mandi gratis. Anda dapat menikmati pemandangan kota dari dalam kamar. Aneka pilihan hidangan Indonesia, Asia, dan internasional yang lezat disajikan di Simpati Restaurant. Pilihan bersantap lainnya dapat ditemukan di Jalan Riau, sedangkan toko terdekat hanya berselang 3 menit berkendara. Di Nexa Hotel, Anda dapat menemui pramutamu untuk mengatur layanan penitipan bagasi gratis. Tersedia pula fasilitas rapat/perjamuan dan pusat bisnis untuk kenyamanan Anda. Hotel ini dapat dicapai dalam 3 menit berkendara dari Gedung Sate dan Museum Geologi. Bandara terdekat adalah Bandara Husein Sastranegara yang berselang 15 menit berkendara dari properti. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Hotel Kedaton,"Jl. Suniaraja No. 14 , 40211 Bandung, Indonesia","Kolam renang outdoor dan kamar-kamar ber-AC yang modern menanti Anda di Hotel Kedaton, yang berjarak 30 menit berkendara dari Paris Van Java Shopping Mall. Anda dapat berolahraga di gym, atau memanjakan diri dengan layanan pijat relaksasi. Wi-Fi gratis dapat diakses di seluruh areanya. Terletak di jantung Kota Bandung, Hotel Kedaton berjarak 15 menit berkendara dari Stasiun Kereta Api Bandung dan 30 menit berkendara dari Bandara Hussein Sastranegara. Layanan penjemputan bandara dan kereta gratis ditawarkan berdasarkan permintaan. Obyek wisata populer Tangkuban Perahu berjarak 1,5 jam berkendara dari properti. Kamar-kamarnya yang trendi menawarkan tata cahaya yang hangat dan jendela-jendela besar. Masing-masing kamar menghadap ke kota serta dilengkapi dengan TV layar datar, minibar, dan lemari es Kamar-kamar tertentu memiliki area tempat duduk dengan sofa yang mewah. Kamar mandi dalamnya menyediakan shower dan perlengkapan mandi. Anda dapat memanjakan diri dengan perawatan di spa. Penitipan bagasi tersedia di meja depan 24-jam, sementara rencana perjalanan dapat dilakukan di meja layanan wisata. Samara Coffee Shop yang buka selama 24 jam menyajikan beragam makanan ringan dan masakan Indonesia."
Garden Permata Hotel,"Jl. Lemah Nendeut No 7 Setrasari, Sukajadi, 40164. Bandung, Indonesia","Berjarak 10 menit berkendara dari Pusat Kota Bandung, Garden Permata Hotel menawarkan sebuah kolam renang outdoor dan spa. Akses Wi-Fi gratis tersedia. Kamar-kamar dilengkapi dengan minibar, fasilitas membuat teh/kopi, dan TV kabel. Kamar mandi dalamnya menyediakan perlengkapan mandi gratis dan fasilitas shower. Anda dapat menikmati pijat relaksasi atau pergi ke gym untuk berolahraga.Hotel ini memiliki pusat bisnis dan meja depan 24 jam. Garden Permata Hotel berjarak 15 menit berkendara dari Bandara Husein Sastranegara serta Stasiun Kereta Api Bandung. Garden View Restaurant menyajikan beragam hidangan khas Indonesia, China, dan internasional. Hiburan live dapat dinikmati setiap malam di Panorama Bar and Lounge. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Dago 207,"Jl. Ir. H. Juanda No. 207, 40135 Bandung, Indonesia","Dago 207 hanya berselang 5 menit berkendara dari berbagai factory outlet yang modis di daerah Dago, serta menawarkan akomodasi nyaman, akses Wi-Fi gratis di seluruh area hotel, dan tempat parkir gratis di lokasi akomodasi bagi Anda yang berkendara. Hotel ini dapat dicapai dalam waktu 15 menit berkendara dari Gua Jepang yang bersejarah dan 20 menit berkendara dari Mal Perbelanjaan Cihampelas Walk. Bandara Internasional Husein Sastranegara berselang sekitar 45 menit berkendara. Semua kamar di Dago 207 ber-AC serta dilengkapi dengan TV satelit layar datar, ketel listrik, dan air mineral kemasan. Setiap kamar juga memiliki kamar mandi dalam yang menampilkan fasilitas shower air panas dan dingin, serta peralatan mandi gratis. Tata graha harian, lounge bersama, dan dapur bersama dapat ditemukan di akomodasi ini. Terdapat juga sebuah minimarket di dalam kompleks hotel. Sarapan disajikan di kamar. Untuk pilihan tempat bersantap lainnya, Anda bisa menjelajahi daerah sekitarnya di mana beragam restoran dan kafe dapat ditemukan hanya dalam waktu 10 menit berkendara dari akomodasi."
Neo MORITZ Homestay,"Jl. Kebon Jati No. 35 Komplek Luxor Permai Belakang Pasar, 40181 Bandung, Indonesia","neo MORITZ Homestay menawarkan akomodasi dengan restoran, taman, bar, dan teras di Bandung tepatnya 300 meter dari Terminal Bus Stasiun Hall. Jika ingin bepergian tanpa banyak beban, Anda dapat menggunakan handuk dan seprai dengan biaya tambahan. Sarapan halal tersedia setiap pagi di homestay. neo MORITZ Homestay berjarak 1,4 km dari Istana Merdeka, 1,5 km dari Braga City Walk, serta 5 km dari Bandara Husein Sastranegara."
